N_EXPEDIEN;F_EXPEDIEN;CALLE;ALTURA;DIRECCION;SMP;M2;FECHA_ESTA;DESTINO;ZONIFICACI;TIPO_OBRA;BARRIO;COMUNA;CODIGO_POSTAL;CODIGO_POSTAL_ARGENTINO;LAT;LNG
1.304.962/2013;18/4/2013 00:00;LAVALLE;919;LAVALLE 919;005-072-031A;-;22/4/2013 00:00;;;AVISO DE OBRA;SAN NICOLAS;COMUNA 1;1047;C1047AAS;-34.60241652682029;-58.37983678155843
1.305.299/2013;19/4/2013 00:00;ACHEGA;3478;ACHEGA 3478;063-020-033;-;3/5/2013 00:00;;;AVISO DE OBRA;VILLA URQUIZA;COMUNA 12;1431;C1431ETL;-34.569392806489375;-58.503913241656804
1.304.617/2013;19/4/2013 00:00;MAZA;1808;MAZA 1808;032-038-013;81.13;28/5/2013 00:00;;;DEMOLICION PARCIAL Y AMPLIACION DE OBRA;BOEDO;COMUNA 5;1240;C1240ADN;-34.63256278265595;-58.41442442060249
1.320.680/2013;19/4/2013 00:00;ZAPATA;345;ZAPATA 345;035-108-011;1335.29;25/4/2013 00:00;;;DEMOLICION TOTAL Y OBRA;PALERMO;COMUNA 14;1426;C1426AEE;-34.57340139463474;-58.44111168110969
1.326.307/2013;19/4/2013 00:00;LAPRIDA;1845;LAPRIDA 1845;015-142-014B;-;25/4/2013 00:00;;;AVISO DE OBRA;RECOLETA;COMUNA 2;1425;C1425EKQ;-34.58895059573295;-58.40139349864233
1.327.085/2013;19/4/2013 00:00;OLIVERA AV.;1067;OLIVERA AV. 1067;054-007-011;155.73;12/5/2014 00:00;;;DEMOLICION PARCIAL Y AMPLIACION DE OBRA;PARQUE AVELLANEDA;COMUNA 9;1407;C1407INK;-34.650321463443426;-58.48305114292885
1.326.840/2013;19/4/2013 00:00;IBERA;2490;IBERA 2490;041-157-009;1172.29;24/6/2013 00:00;MULTIVIVIENDA;C3 I;DEMOLICION TOTAL Y OBRA;NUÑEZ;COMUNA 13;1429;C1429CMJ;-34.554039742651746;-58.4654063203831
1.328.090/2013;19/4/2013 00:00;PORCEL DE PERALTA, MANUEL;689;PORCEL DE PERALTA, MANUEL 689;093-074-025;-;3/5/2013 00:00;;;AVISO DE OBRA;VERSALLES;COMUNA 10;1408;C1408CBG;-34.63005205802229;-58.52360147329261
1.328.534/2013;19/4/2013 00:00;ARENAL, CONCEPCION;3732;ARENAL, CONCEPCION 3732;033-036-017;94.69;14/4/2014 00:00;;;DEMOLICION PARCIAL Y AMPLIACION DE OBRA;CHACARITA;COMUNA 15;1427;C1427EKH;-34.58613860916856;-58.447524251588796
1.360.245/2013;22/4/2013 00:00;SAN JUAN AV.;3116;SAN JUAN AV. 3116;030-050-002;2584.14;11/6/2013 00:00;MULTIVIVIENDA;C3 I;OBRA NUEVA;SAN CRISTOBAL;COMUNA 3;1233;C1233ABO;-34.62470423726356;-58.40909680315963
1.358.678/2013;22/4/2013 00:00;SOLANO LOPEZ, F., MARISCAL;2415;SOLANO LOPEZ, F., MARISCAL 2415;071-105-028;141;22/7/2013 00:00;UNIVIVIENDA;R2B II;OBRA NUEVA;AGRONOMIA;COMUNA 15;1419;C1419HQG;-34.590119873880155;-58.49021379086789
1.360.399/2013;22/4/2013 00:00;CUBA;1901;CUBA 1901;025-016-008C;-;7/5/2013 00:00;;;AVISO DE OBRA;BELGRANO;COMUNA 13;1428;C1428AEC;-34.56254516838408;-58.45329054104039
1.364.731/2013;22/4/2013 00:00;REPUBLICA ARABE SIRIA;2693;REPUBLICA ARABE SIRIA 2693;021-015-021;-;25/4/2013 00:00;;;AVISO DE OBRA;PALERMO;COMUNA 14;1425;C1425EYC;-34.58337095587272;-58.4155818044884
1.364.872/2013;22/4/2013 00:00;RIVADAVIA AV.;1235;RIVADAVIA AV. 1235;005-043-028;-;25/4/2013 00:00;;;AVISO DE OBRA;SAN NICOLAS;COMUNA 1;1033;C1033AAC;-34.608590914746074;-58.384032863313195
1.359.195/2013;22/4/2013 00:00;PAREJA;3078;PAREJA 3078;073-009B-013;165.14;27/8/2013 00:00;;;OBRA NUEVA;VILLA PUEYRREDON;COMUNA 12;1419;C1419GTT;-34.59141723501736;-58.501095212859475
1.360.084/2013;22/4/2013 00:00;MURGUIONDO;1156;MURGUIONDO 1156;074-123-017;1129.87;11/6/2013 00:00;MULTIVIVIENDA;R2B I;DEMOLICION TOTAL Y OBRA;MATADEROS;COMUNA 9;1440;C1440CNB;-34.65011064821628;-58.50999065591866
1.379.702/2013;23/4/2013 00:00;ARMENIA;2146;ARMENIA 2146;019-118-001G;-;8/5/2013 00:00;;;AVISO DE OBRA;PALERMO;COMUNA 14;1425;C1425FBD;-34.586561513066854;-58.42301778739858
1.383.114/2013;23/4/2013 00:00;LORETO, VIRREY;2219;LORETO, VIRREY 2219;023-047A-013I;-;3/5/2013 00:00;;;AVISO DE OBRA;BELGRANO;COMUNA 13;1426;C1426DXO;-34.56607636982584;-58.44908855204581
1.386.603/2013;23/4/2013 00:00;LAMAS, ANDRES;1532;LAMAS, ANDRES 1532;059-005-039;119.54;19/11/2013 00:00;;;OBRA NUEVA;VILLA GRAL. MITRE;COMUNA 11;1416;C1416BIJ;-34.611402763746625;-58.46602964876849
1.384.041/2013;23/4/2013 00:00;SAN MARTIN;280;SAN MARTIN 280;011-008-037;-;3/5/2013 00:00;;;DEMOLICION TOTAL;SAN NICOLAS;COMUNA 1;1004;C1004AAF;-34.6046818453894;-58.37381794908792
1.391.339/2013;23/4/2013 00:00;VERA;450;VERA 450;031-002-021;-;29/4/2013 00:00;;;AVISO DE OBRA;VILLA CRESPO;COMUNA 15;1414;C1414AOJ;-34.59949955922481;-58.437321069316575
1.391.558/2013;23/4/2013 00:00;LARRALDE, CRISOLOGO AV.;5605;LARRALDE, CRISOLOGO AV. 5605;055-023-020;-;3/5/2013 00:00;;;AVISO DE OBRA;SAAVEDRA;COMUNA 12;1431;C1431APS;-34.564771078439605;-58.49928349427288
1.392.315/2013;24/4/2013 00:00;GONZALEZ, JOAQUIN V.;2434;GONZALEZ, JOAQUIN V. 2434;081-069-037;1913.76;30/7/2013 00:00;MULTIVIVIENDA;E3;DEMOLICION TOTAL Y OBRA;MONTE CASTRO;COMUNA 10;1417;C1417AQH;-34.61089565125259;-58.49869860310121
1.415.711/2013;24/4/2013 00:00;INDEPENDENCIA AV.;2708;INDEPENDENCIA AV. 2708;030-097-002;1406.36;7/8/2013 00:00;;;DEMOLICION TOTAL Y OBRA;SAN CRISTOBAL;COMUNA 3;1225;C1225AAW;-34.61897104282032;-58.403752457267885
16.045.413/2017;24/4/2013 00:00;TRES ARROYOS;1829;TRES ARROYOS 1829;059-037-002A;1934.18;24/4/2013 15:02;SALUD;R2B III;DEMOLICION PARCIAL Y AMPLIACION DE OBRA;;;;;;
16.045.413/2017;24/4/2013 00:00;TRES ARROYOS;1829;TRES ARROYOS 1829;059-037-002A;1934.18;13/8/2013 00:00;SALUD;R2B III;DEMOLICION PARCIAL Y AMPLIACION DE OBRA;VILLA GRAL. MITRE;COMUNA 11;1416;C1416DDA;-34.61047401472164;-58.463549161921684
1.412.852/2013;24/4/2013 00:00;PERON, JUAN DOMINGO, TTE. GENERAL;1513;PERON, JUAN DOMINGO, TTE. GENERAL 1513;005-021-031A;-;3/5/2013 00:00;;;AVISO DE OBRA;SAN NICOLAS;COMUNA 1;1037;C1037ACC;-34.60651979050155;-58.38812507916581
1.415.518/2013;24/4/2013 00:00;ZUVIRIA;90;ZUVIRIA 90;040-137-021A;-;3/5/2013 00:00;;;AVISO DE OBRA;PARQUE CHACABUCO;COMUNA 7;1424;C1424CKB;-34.628516767210776;-58.42763445383206
1.412.027/2013;24/4/2013 00:00;LAMARCA, EMILIO;4817;LAMARCA, EMILIO 4817;083-178B-015E;30;26/8/2013 00:00;ADMINISTRACION, BANCA Y FINANZAS;R2B II;DEMOLICION PARCIAL Y AMPLIACION DE OBRA;VILLA DEVOTO;COMUNA 11;1419;C1419ASM;-34.59098550229248;-58.51234744735991
1.408.237/2013;24/4/2013 00:00;SENILLOSA;145;SENILLOSA 145;040-133A-025A;-;3/5/2013 00:00;;;AVISO DE OBRA;CABALLITO;COMUNA 6;1424;C1424BOC;-34.617743855135;-58.4301716753842
1.408.543/2013;24/4/2013 00:00;BALBIN, RICARDO, DR. AV.;2437;BALBIN, RICARDO, DR. AV. 2437;039-066-008;2420.01;6/5/2013 00:00;MULTIVIVIENDA;R2A II;DEMOLICION TOTAL Y OBRA;BELGRANO;COMUNA 13;1428;C1428CVB;-34.56251399111515;-58.46548448687675
1.408.543/2013;24/4/2013 00:00;BALBIN, RICARDO, DR. AV.;2437;BALBIN, RICARDO, DR. AV. 2437;039-066-008;2420.01;28/11/2013 00:00;MULTIVIVIENDA;R2A II;DEMOLICION TOTAL Y OBRA;BELGRANO;COMUNA 13;1428;C1428CVB;-34.56251399111515;-58.46548448687675
1.408.543/2013;24/4/2013 00:00;BALBIN, RICARDO, DR. AV.;2437;BALBIN, RICARDO, DR. AV. 2437;039-066-008;2420.01;21/8/2014 00:00;MULTIVIVIENDA;R2A II;DEMOLICION TOTAL Y OBRA;BELGRANO;COMUNA 13;1428;C1428CVB;-34.56251399111515;-58.46548448687675
1.408.543/2013;24/4/2013 00:00;BALBIN, RICARDO, DR. AV.;2437;BALBIN, RICARDO, DR. AV. 2437;039-066-008;2420.01;19/3/2015 00:00;MULTIVIVIENDA;R2A II;DEMOLICION TOTAL Y OBRA;BELGRANO;COMUNA 13;1428;C1428CVB;-34.56251399111515;-58.46548448687675
1.407.986/2013;24/4/2013 00:00;PERON, JUAN DOMINGO, TTE. GENERAL;2455;PERON, JUAN DOMINGO, TTE. GENERAL 2455;009-027-029;-;3/5/2013 00:00;;;AVISO DE OBRA;BALVANERA;COMUNA 3;1040;C1040AAM;-34.607394773241296;-58.40140125566681
1.402.653/2013;24/4/2013 00:00;SANTA CATALINA;1316;SANTA CATALINA 1316;038-003-004B;524.60;29/10/2013 00:00;;;DEMOLICION PARCIAL Y AMPLIACION DE OBRA;NUEVA POMPEYA;COMUNA 4;1437;C1437FOB;-34.65184311407307;-58.42023136233294
1.416.765/2013;25/4/2013 00:00;AVELLANEDA AV.;1990;AVELLANEDA AV. 1990;057-004-007A;9376.89;18/6/2014 00:00;;;DEMOLICION TOTAL Y OBRA;FLORES;COMUNA 7;1406;C1406FYR;-34.622394419998386;-58.45918653819546
1.429.293/2013;25/4/2013 00:00;LARRAZABAL;3339;LARRAZABAL 3339;078-145-008;-;3/5/2013 00:00;;;AVISO DE OBRA;VILLA LUGANO;COMUNA 8;1439;C1439ECH;-34.670140655550604;-58.48032033081112
1.432.383/2013;25/4/2013 00:00;SANTA FE AV.;3587;SANTA FE AV. 3587;021-003-012A;-;16/5/2013 00:00;;;AVISO DE OBRA;PALERMO;COMUNA 14;1425;C1425BGK;-34.58584785068768;-58.41474144282626
1.432.597/2013;25/4/2013 00:00;BOGOTA;903;BOGOTA 903;045-008-024;-;16/5/2013 00:00;;;AVISO DE OBRA;CABALLITO;COMUNA 6;1405;C1405CME;-34.61788410782372;-58.44432327859149
1.413.747/2013;25/4/2013 00:00;CAMPANA;3239;CAMPANA 3239;081-169-015;1230.76;30/7/2013 00:00;MULTIVIVIENDA;R1A;DEMOLICION TOTAL Y OBRA;VILLA DEL PARQUE;COMUNA 11;1417;C1417ADA;-34.600973823266614;-58.4974879871088
1.432.214/2013;25/4/2013 00:00;CAMPOS, LUIS M. AV.;1480;CAMPOS, LUIS M. AV. 1480;023-046-001A;-;3/5/2013 00:00;;;AVISO DE OBRA;BELGRANO;COMUNA 13;1426;C1426BOZ;-34.56301873456626;-58.443527058929476
1.453.854/2013;26/4/2013 00:00;GURRUCHAGA;366;GURRUCHAGA 366;047-156-025;2446.47;28/6/2013 00:00;MULTIVIVIENDA;R2A II;DEMOLICION TOTAL Y OBRA;VILLA CRESPO;COMUNA 15;1414;C1414DHH;-34.598390542682495;-58.44317405818497
1.453.322/2013;26/4/2013 00:00;RUY DIAZ DE GUZMAN;151;RUY DIAZ DE GUZMAN 151;008-027-060;-;8/5/2013 00:00;;;AVISO DE OBRA;BARRACAS;COMUNA 4;1267;C1267ACC;-34.63217889320115;-58.37142924489825
1.438.407/2013;26/4/2013 00:00;MELINCUE;2832;MELINCUE 2832;071-049-003;-;31/5/2013 00:00;;;AVISO DE OBRA;VILLA DEL PARQUE;COMUNA 11;1417;C1417FGJ;-34.60030164586091;-58.4896265757732
1.457.339/2013;26/4/2013 00:00;LINCOLN AV.;4305;LINCOLN AV. 4305;083-053-005A;3503.83;27/1/2014 00:00;;;DEMOLICION PARCIAL Y AMPLIACION DE OBRA;VILLA DEVOTO;COMUNA 11;1419;C1419IFI;-34.59890514336599;-58.5158478824169
1.456.927/2013;26/4/2013 00:00;CORVALAN;1747;CORVALAN 1747;062-074A-016B;332.44;26/8/2013 00:00;MULTIVIVIENDA;E2;DEMOLICION TOTAL Y OBRA;MATADEROS;COMUNA 9;1440;C1440DJA;-34.654092193256076;-58.49014658939404
1.461.305/2013;26/4/2013 00:00;MAGARIÑOS CERVANTES, A.;5048;MAGARIÑOS CERVANTES, A. 5048;085-004A-007;112.82;17/7/2013 00:00;MULTIVIVIENDA;R2A II;OBRA NUEVA;VELEZ SARSFIELD;COMUNA 10;1407;C1407MLJ;-34.62907853868997;-58.503478007330315
1.460.811/2013;26/4/2013 00:00;BEIRO, FRANCISCO AV.;4937;BEIRO, FRANCISCO AV. 4937;089-068-020;43.81;9/9/2013 00:00;COMERCIO;C3 II;OBRA NUEVA;VILLA DEVOTO;COMUNA 11;1419;C1419HZL;-34.610764758571975;-58.5199233557491
1.463.149/2013;26/4/2013 00:00;VIALE, LUIS;1855;VIALE, LUIS 1855;059-035-010;210.27;2/7/2013 00:00;MULTIVIVIENDA;R2B III;OBRA NUEVA;VILLA GRAL. MITRE;COMUNA 11;1416;C1416DNA;-34.61256820847155;-58.46223378913209
1.463.246/2013;26/4/2013 00:00;CORDOBA AV.;679;CORDOBA AV. 679;003-041-020E;-;13/5/2013 00:00;;;AVISO DE OBRA;RETIRO;COMUNA 1;1054;C1054AAF;-34.59869632091679;-58.37651864148515
1.463.414/2013;26/4/2013 00:00;SAN JOSE DE CALASANZ;102;SAN JOSE DE CALASANZ 102;040-056-011;-;23/5/2013 00:00;;;AVISO DE OBRA;CABALLITO;COMUNA 6;1424;C1424AHD;-34.620286511195296;-58.438631652019595
1.462.155/2013;26/4/2013 00:00;NAVARRO;4534;NAVARRO 4534;089-095-002A;362.67;26/6/2013 00:00;UNIVIVIENDA;R1B I;DEMOLICION TOTAL Y OBRA;VILLA DEVOTO;COMUNA 11;1419;C1419HUN;-34.60688604708385;-58.51535295264375
1.463.519/2013;26/4/2013 00:00;OROÑO, NICASIO;976;OROÑO, NICASIO 976;057-073-031;-;7/5/2013 00:00;;;AVISO DE OBRA;CABALLITO;COMUNA 6;1405;C1405AQL;-34.61339210376136;-58.45467425640638
1.465.360/2013;29/4/2013 00:00;MERCEDES;4970;MERCEDES 4970;083-060-034;351.19;1/10/2013 00:00;UNIVIVIENDA;R1B I;DEMOLICION TOTAL Y OBRA;VILLA DEVOTO;COMUNA 11;1419;C1419BHJ;-34.59324436404726;-58.519191024171015
1.466.766/2013;29/4/2013 00:00;BERMUDEZ;3687;BERMUDEZ 3687;089-036-009B;310.67;7/1/2014 00:00;;;DEMOLICION TOTAL Y OBRA;VILLA DEVOTO;COMUNA 11;1419;C1419CAM;-34.608184282188;-58.524078390528
1.482.826/2013;29/4/2013 00:00;HERNANDEZ, JOSE;2040;HERNANDEZ, JOSE 2040;023-056-003C;-;13/5/2013 00:00;;;AVISO DE OBRA;BELGRANO;COMUNA 13;1426;C1426EOJ;-34.56395496730904;-58.45022779074997
1.482.593/2013;29/4/2013 00:00;MUÑIZ;1482;MUÑIZ 1482;036-017-017;-;14/5/2013 00:00;;;AVISO DE OBRA;BOEDO;COMUNA 5;1255;C1255ACH;-34.63093528899936;-58.424567939991576
1.486.855/2013;29/4/2013 00:00;MONTES DE OCA, MANUEL AV.;1050;MONTES DE OCA, MANUEL AV. 1050;010-012-010;-;15/5/2013 00:00;;;AVISO DE OBRA;BARRACAS;COMUNA 4;1270;C1270AAX;-34.640233142808526;-58.37420376466805
1.488.789/2013;29/4/2013 00:00;BERUTI;3434;BERUTI 3434;021-011-004;-;17/5/2013 00:00;;;AVISO DE OBRA;PALERMO;COMUNA 14;1425;C1425BBT;-34.58636623969097;-58.410924273045694
1.485.305/2013;29/4/2013 00:00;LAS HERAS GENERAL AV.;3759;LAS HERAS GENERAL AV. 3759;021-044-027;-;13/5/2013 00:00;;;AVISO DE OBRA;PALERMO;COMUNA 14;1425;C1425ATB;-34.58179694365385;-58.41185848089815
1.488.445/2013;29/4/2013 00:00;PAEZ;2182;PAEZ 2182;065-116-007A;11170;29/7/2013 00:00;;;OBRA NUEVA;FLORES;COMUNA 7;1406;C1406FQJ;-34.61894757573413;-58.46402055766735
1.496.692/2013;29/4/2013 00:00;MORENO;2033;MORENO 2033;020-056-027;-;29/5/2013 00:00;;;AVISO DE OBRA;BALVANERA;COMUNA 3;1094;C1094ABE;-34.612864343700195;-58.39507611650069
1.508.685/2013;30/4/2013 00:00;ACHA, MARIANO, GRAL.;2878;ACHA, MARIANO, GRAL. 2878;053-064-029;206.10;3/7/2013 00:00;UNIVIVIENDA;R2B I;DEMOLICION TOTAL Y OBRA;VILLA URQUIZA;COMUNA 12;1430;C1430DVF;-34.56654622577626;-58.48220947103969
1.513.374/2013;30/4/2013 00:00;SOLANO LOPEZ, F., MARISCAL;2542;SOLANO LOPEZ, F., MARISCAL 2542;071-092-005;-;9/5/2013 00:00;;;AVISO DE OBRA;AGRONOMIA;COMUNA 15;1419;C1419HQJ;-34.59102504528676;-58.491531548760044
1.513.224/2013;30/4/2013 00:00;RAVIGNANI, EMILIO, DR.;1350;RAVIGNANI, EMILIO, DR. 1350;033-071-037;2162.72;11/6/2013 00:00;MULTIVIVIENDA;U20;DEMOLICION TOTAL Y OBRA;PALERMO;COMUNA 14;1414;C1414CPH;-34.58489141935308;-58.44302856174521
1.513.729/2013;30/4/2013 00:00;DIRECTORIO AV.;3852;DIRECTORIO AV. 3852;054-130-008;-;14/5/2013 00:00;;;AVISO DE OBRA;PARQUE AVELLANEDA;COMUNA 9;1407;C1407HFS;-34.640205373763514;-58.477968039722256
1.512.708/2013;30/4/2013 00:00;VIAMONTE;2632;VIAMONTE 2632;009-008-004;2239.25;7/8/2013 00:00;MULTIVIVIENDA;C3 I;DEMOLICION TOTAL Y OBRA;BALVANERA;COMUNA 3;1056;C1056ABR;-34.60096792173103;-58.40385269447207
1.515.041/2013;30/4/2013 00:00;JURAMENTO AV.;1924;JURAMENTO AV. 1924;071-031-001D;-;30/5/2013 00:00;;;AVISO DE OBRA;BELGRANO;COMUNA 13;1428;C1428DNF;-34.55951649839179;-58.452210732154214
1.514.580/2013;30/4/2013 00:00;SUAREZ;479;SUAREZ 479;006-028-012A;1353.25;26/8/2013 00:00;MULTIVIVIENDA;R2A II;DEMOLICION TOTAL Y OBRA;BOCA;COMUNA 4;1162;C1162AEI;-34.635741421127726;-58.36006033323704
1.516.557/2013;30/4/2013 00:00;SEGUI, JUAN FRANCISCO;3659;SEGUI, JUAN FRANCISCO 3659;021-077-004C;3047.34;9/5/2013 00:00;MULTIVIVIENDA;R2A I;DEMOLICION TOTAL Y OBRA;PALERMO;COMUNA 14;1425;C1425ACC;-34.578587445861196;-58.40999285059839
1.517.101/2013;30/4/2013 00:00;CAMARGO;579;CAMARGO 579;047-172-008;-;8/5/2013 00:00;;;AVISO DE OBRA;VILLA CRESPO;COMUNA 15;1414;C1414AHK;-34.59997897574809;-58.44056698075598
1.517.911/2013;30/4/2013 00:00;PARAGUAY;1346;PARAGUAY 1346;007-038-007;337.29;23/7/2013 00:00;ADMINISTRACION, BANCA Y FINANZAS;C2;DEMOLICION PARCIAL Y AMPLIACION DE OBRA;RETIRO;COMUNA 1;1057;C1057AAV;-34.59825420638041;-58.38621750655681
21.537.086/2016;2/5/2013 00:00;CRAMER;2187;CRAMER 2187;039-070-006E;767.13;2/5/2013 10:34;MULTIVIVIENDA;R2A II;DEMOLICION TOTAL Y OBRA;;;;;;
21.537.086/2016;2/5/2013 00:00;CRAMER AV.;2187;CRAMER AV. 2187;039-070-006E;767.13;21/10/2013 00:00;MULTIVIVIENDA;R2A II;DEMOLICION TOTAL Y OBRA;BELGRANO;COMUNA 13;1428;C1428CTG;-34.56388672125426;-58.461934933713074
1.518.543/2013;2/5/2013 00:00;ALSINA, ADOLFO;1234;ALSINA, ADOLFO 1234;012-046-003;-;29/5/2013 00:00;;;AVISO DE OBRA;MONSERRAT;COMUNA 1;1088;C1088AAH;-34.610975049888914;-58.38383292824948
1.537.198/2013;2/5/2013 00:00;ALCARAZ;5583;ALCARAZ 5583;091-080-024;151.50;9/9/2013 00:00;MULTIVIVIENDA;R2B II;DEMOLICION PARCIAL Y AMPLIACION DE OBRA;VILLA LURO;COMUNA 10;1407;C1407GJC;-34.62742490229515;-58.51319955187008
1.548.781/2013;3/5/2013 00:00;PERON, JUAN DOMINGO, TTE. GENERAL;3942;PERON, JUAN DOMINGO, TTE. GENERAL 3942;017-078-005A;-;14/5/2013 00:00;;;AVISO DE OBRA;ALMAGRO;COMUNA 5;1198;C1198AAX;-34.606050695277354;-58.42185539347182
1.547.480/2013;3/5/2013 00:00;TREINTA Y TRES ORIENTALES;656;TREINTA Y TRES ORIENTALES 656;036-057-018;81.42;21/10/2014 00:00;;;DEMOLICION PARCIAL Y AMPLIACION DE OBRA;ALMAGRO;COMUNA 5;1236;C1236ACF;-34.62105877333264;-58.42404365623948
1.548.234/2013;3/5/2013 00:00;DEL LIBERTADOR AV.;2854;DEL LIBERTADOR AV. 2854;021-077-004D;-;23/5/2013 00:00;;;AVISO DE OBRA;PALERMO;COMUNA 14;1425;C1425ABO;-34.57771578152841;-58.40944925202768
1.548.020/2013;3/5/2013 00:00;CORRIENTES AV.;5369;CORRIENTES AV. 5369;031-004-015;-;31/5/2013 00:00;;;AVISO DE OBRA;VILLA CRESPO;COMUNA 15;1414;C1414AJG;-34.59845523345243;-58.44018523743829
1.550.189/2013;3/5/2013 00:00;GAONA AV.;4481;GAONA AV. 4481;079-037-017A;69.14;24/6/2013 00:00;COMERCIO;E3;DEMOLICION PARCIAL Y AMPLIACION DE OBRA;FLORESTA;COMUNA 10;1407;C1407FIG;-34.625982953686865;-58.48628034778681
1.547.240/2013;3/5/2013 00:00;RIVADAVIA AV.;2243;RIVADAVIA AV. 2243;009-042-028A;-;16/5/2013 00:00;;;AVISO DE OBRA;BALVANERA;COMUNA 3;1034;0;-34.609576716588656;-58.39838264758365
1.549.392/2013;3/5/2013 00:00;NAZCA AV.;1555;NAZCA AV. 1555;067-042-016;2409.47;3/7/2013 00:00;MULTIVIVIENDA;C3 II;DEMOLICION TOTAL Y OBRA;VILLA SANTA RITA;COMUNA 11;1416;C1416ASE;-34.615887218810286;-58.47773024812696
3.398.484/2017;3/5/2013 00:00;RAVIGNANI, EMILIO, DR.;2015;RAVIGNANI, EMILIO, DR. 2015;035-075-021;60.55;3/5/2013 11:33;MULTIVIVIENDA;U20;DEMOLICION TOTAL Y OBRA;;;;;;
3.398.484/2017;3/5/2013 00:00;RAVIGNANI, EMILIO, DR.;2015;RAVIGNANI, EMILIO, DR. 2015;035-075-021;60.55;16/10/2013 00:00;MULTIVIVIENDA;U20;DEMOLICION TOTAL Y OBRA;PALERMO;COMUNA 14;1414;C1414CPU;-34.57916487040626;-58.436346990169035
3.398.484/2017;3/5/2013 00:00;RAVIGNANI, EMILIO, DR.;2015;RAVIGNANI, EMILIO, DR. 2015;035-075-021;60.55;13/6/2017 00:00;MULTIVIVIENDA;U20;DEMOLICION TOTAL Y OBRA;PALERMO;COMUNA 14;1414;C1414CPU;-34.57916487040626;-58.436346990169035
1.572.243/2013;6/5/2013 00:00;INDEPENDENCIA AV.;1825;INDEPENDENCIA AV. 1825;020-067-031;973.95;28/8/2013 00:00;MULTIVIVIENDA;C3 I;DEMOLICION TOTAL Y OBRA;BALVANERA;COMUNA 3;1225;C1225AAA;-34.61809180345681;-58.3921671037514
1.580.640/2013;6/5/2013 00:00;LAVOISIER;3436;LAVOISIER 3436;063-039-024;607.04;18/7/2013 00:00;MULTIVIVIENDA;R2B I;DEMOLICION TOTAL Y OBRA;VILLA URQUIZA;COMUNA 12;1431;C1431DTJ;-34.56925307205959;-58.50140219005226
1.582.199/2013;6/5/2013 00:00;FRIAS, EUSTOQUIO, TTE. GENERAL;434;FRIAS, EUSTOQUIO, TTE. GENERAL 434;031-024-023;-;31/5/2013 00:00;;;AVISO DE OBRA;VILLA CRESPO;COMUNA 15;1414;C1414DVJ;-34.601363815024584;-58.43313829986372
1.576.168/2013;6/5/2013 00:00;LAVALLEJA;106;LAVALLEJA 106;047-169-021;1021.36;4/9/2013 00:00;;;DEMOLICION TOTAL Y OBRA;VILLA CRESPO;COMUNA 15;1414;C1414DTD;-34.60292163267831;-58.4376575817741
1.584.224/2013;6/5/2013 00:00;MELIAN AV.;4211;MELIAN AV. 4211;043-035-016;435.22;11/7/2013 00:00;MULTIVIVIENDA;R2B I;DEMOLICION TOTAL Y OBRA;SAAVEDRA;COMUNA 12;1430;C1430EZK;-34.55020980299198;-58.48348861413159
1.584.224/2013;6/5/2013 00:00;MELIAN AV.;4211;MELIAN AV. 4211;043-035-016;435.22;22/7/2014 00:00;MULTIVIVIENDA;R2B I;DEMOLICION TOTAL Y OBRA;SAAVEDRA;COMUNA 12;1430;C1430EZK;-34.55020980299198;-58.48348861413159
1.583.491/2013;6/5/2013 00:00;LA HAYA;3935;LA HAYA 3935;061-193-010A;-;12/6/2013 00:00;;;AVISO DE OBRA;PARQUE CHAS;COMUNA 15;1431;C1431FHE;-34.58069020851793;-58.47680702633685
1.601.130/2013;7/5/2013 00:00;TEDIN, JUEZ;2704;TEDIN, JUEZ 2704;015-159-001B;-;31/5/2013 00:00;;;AVISO DE OBRA;PALERMO;COMUNA 14;1425;C1425CWB;-34.57891953740404;-58.39713293127967
1.605.667/2013;7/5/2013 00:00;BELAUSTEGUI, LUIS, DR.;4938;BELAUSTEGUI, LUIS, DR. 4938;085-012-005A;113.30;17/6/2013 00:00;MULTIVIVIENDA;R2B II;DEMOLICION PARCIAL Y AMPLIACION DE OBRA;VELEZ SARSFIELD;COMUNA 10;1407;C1407EYH;-34.63073577351394;-58.49841773341088
1.608.155/2013;7/5/2013 00:00;RODRIGUEZ PEÑA;120;RODRIGUEZ PEÑA 120;005-002-022;-;15/5/2013 00:00;;;AVISO DE OBRA;SAN NICOLAS;COMUNA 1;1020;C1020ADD;-34.60757173864425;-58.39074515976657
1.608.066/2013;7/5/2013 00:00;25 DE MAYO;332;25 DE MAYO 332;001-044-023;-;15/5/2013 00:00;;;AVISO DE OBRA;SAN NICOLAS;COMUNA 1;1002;C1002ABH;-34.60388872210833;-58.37108624269944
1.607.680/2013;7/5/2013 00:00;HONDURAS AV.;3820;HONDURAS AV. 3820;019-023-003;1747.32;7/8/2013 00:00;MULTIVIVIENDA;R2B I;DEMOLICION TOTAL Y OBRA;PALERMO;COMUNA 14;1180;C1180ACD;-34.59415306635311;-58.41687359002767
1.610.097/2013;7/5/2013 00:00;MOREAU DE JUSTO, ALICIA AV.;1188;MOREAU DE JUSTO, ALICIA AV. 1188;098-056-004;-;15/5/2013 00:00;;;AVISO DE OBRA;PUERTO MADERO;COMUNA 1;1107;C1107AAX;-34.61197636446127;-58.366229166119396
